[ 00:00:07.005 -->  00:00:10.469] AX SPEAKER_02
[ 00:00:11.083 -->  00:00:13.967] AY SPEAKER_02
[ 00:00:15.162 -->  00:00:20.742] AZ SPEAKER_02
[ 00:00:21.732 -->  00:00:22.056] BA SPEAKER_02
[ 00:00:22.687 -->  00:00:29.479] BB SPEAKER_02
[ 00:00:23.250 -->  00:00:23.813] A SPEAKER_00
[ 00:00:28.899 -->  00:00:34.001] B SPEAKER_00
[ 00:00:30.435 -->  00:00:30.503] BC SPEAKER_02
[ 00:00:34.001 -->  00:00:35.418] BD SPEAKER_02
[ 00:00:35.366 -->  00:00:40.674] C SPEAKER_00
[ 00:00:44.069 -->  00:00:48.421] EN SPEAKER_04
[ 00:00:47.005 -->  00:00:47.994] N SPEAKER_01
[ 00:00:47.994 -->  00:00:51.578] CW SPEAKER_03
[ 00:00:48.779 -->  00:00:49.735] O SPEAKER_01
[ 00:00:49.735 -->  00:00:55.998] EO SPEAKER_04
[ 00:00:56.868 -->  00:00:57.500] EP SPEAKER_04
[ 00:00:57.500 -->  00:01:00.059] CX SPEAKER_03
[ 00:01:02.790 -->  00:01:08.165] CY SPEAKER_03
[ 00:01:09.889 -->  00:01:18.865] CZ SPEAKER_03
[ 00:01:20.998 -->  00:01:35.503] BE SPEAKER_02
[ 00:01:37.039 -->  00:01:39.001] EQ SPEAKER_04
[ 00:01:39.001 -->  00:01:42.994] BF SPEAKER_02
[ 00:01:42.346 -->  00:01:47.005] P SPEAKER_01
[ 00:01:47.005 -->  00:01:49.837] BG SPEAKER_02
[ 00:01:51.407 -->  00:01:59.872] BH SPEAKER_02
[ 00:01:59.069 -->  00:02:13.899] ER SPEAKER_04
[ 00:02:03.216 -->  00:02:04.001] BI SPEAKER_02
[ 00:02:07.397 -->  00:02:07.500] BJ SPEAKER_02
[ 00:02:07.500 -->  00:02:08.523] DA SPEAKER_03
[ 00:02:12.500 -->  00:02:15.503] Q SPEAKER_01
[ 00:02:13.506 -->  00:02:19.001] BK SPEAKER_02
[ 00:02:20.981 -->  00:02:23.216] R SPEAKER_01
[ 00:02:23.813 -->  00:02:26.493] ES SPEAKER_04
[ 00:02:25.998 -->  00:02:28.779] DB SPEAKER_03
[ 00:02:29.650 -->  00:02:32.841] BL SPEAKER_02
[ 00:02:31.561 -->  00:02:32.704] ET SPEAKER_04
[ 00:02:33.643 -->  00:02:34.001] EU SPEAKER_04
[ 00:02:34.001 -->  00:02:38.523] S SPEAKER_01
[ 00:02:35.998 -->  00:02:42.790] EV SPEAKER_04
[ 00:02:38.523 -->  00:02:38.609] BM SPEAKER_02
[ 00:02:41.936 -->  00:02:46.049] D SPEAKER_00
[ 00:02:42.261 -->  00:02:42.500] BN SPEAKER_02
[ 00:02:47.858 -->  00:02:47.994] EW SPEAKER_04
[ 00:02:47.994 -->  00:02:48.506] DC SPEAKER_03
[ 00:02:50.861 -->  00:02:53.438] E SPEAKER_00
[ 00:02:54.701 -->  00:03:02.005] T SPEAKER_01
[ 00:02:54.769 -->  00:02:57.500] DD SPEAKER_03
[ 00:02:54.889 -->  00:02:54.991] F SPEAKER_00
[ 00:02:59.854 -->  00:03:07.500] DE SPEAKER_03
[ 00:03:07.500 -->  00:03:11.459] U SPEAKER_01
[ 00:03:08.336 -->  00:03:10.998] DF SPEAKER_03
[ 00:03:11.459 -->  00:03:15.042] EX SPEAKER_04
[ 00:03:12.994 -->  00:03:20.588] V SPEAKER_01
[ 00:03:18.080 -->  00:03:22.005] EY SPEAKER_04
[ 00:03:20.588 -->  00:03:21.083] DG SPEAKER_03
[ 00:03:22.005 -->  00:03:22.994] DH SPEAKER_03
[ 00:03:23.609 -->  00:03:24.991] W SPEAKER_01
[ 00:03:24.991 -->  00:03:31.049] DI SPEAKER_03
[ 00:03:29.206 -->  00:03:30.025] EZ SPEAKER_04
[ 00:03:31.049 -->  00:03:45.383] FA SPEAKER_04
[ 00:03:31.646 -->  00:03:32.244] DJ SPEAKER_03
[ 00:03:34.325 -->  00:03:35.435] DK SPEAKER_03
[ 00:03:34.496 -->  00:03:38.575] BO SPEAKER_02
[ 00:03:41.612 -->  00:03:42.005] BP SPEAKER_02
[ 00:03:42.005 -->  00:03:42.670] X SPEAKER_01
[ 00:03:44.496 -->  00:03:46.936] Y SPEAKER_01
[ 00:03:48.011 -->  00:03:50.708] Z SPEAKER_01
[ 00:03:48.848 -->  00:03:49.496] G SPEAKER_00
[ 00:03:49.496 -->  00:03:50.503] FB SPEAKER_04
